Unidade federativa,Abreviação,Governador,Partido,Mandato,Notas,ABCP
Acre,AC,Gladson Cameli,PP,2019–2023,Eleito em 1.° turno,6
Alagoas,AL,Paulo Dantas,MDB,2022–2023,Assumiu após a renúncia do titular[2],"4,2"
Amapá,AP,Waldez Góes,PDT,2019–2023,Reeleito em 2.° turno,"3,3"
Amazonas,AM,Wilson Lima,UNIÃO,2019–2023,Eleito em 2.° turno,"6,2"
Bahia,BA,Rui Costa,PT,2019–2023,Reeleito em 1.° turno,"2,9"
Ceará,CE,Izolda Cela,PDT,2022–2023,Assumiu após a renúncia do seu antecessor. [4],"3,3"
Distrito Federal,DF,Ibaneis Rocha,MDB,2019–2023,Eleito em 2.° turno,"4,2"
Espírito Santo,ES,Renato Casagrande,PSB,2019–2023,Eleito em 1.° turno,3
Goiás,GO,Ronaldo Caiado,UNIÃO,2019–2023,Eleito em 1.° turno,"6,2"
Maranhão,MA,Carlos Brandão Junior,PSB,2022–2023,Assumiu após a renúncia do seu antecessor.[6],3
Mato Grosso,MT,Mauro Mendes,UNIÃO,2019–2023,Eleito em 1.° turno,"6,2"
Mato Grosso do Sul,MS,Reinaldo Azambuja,PSDB,2019–2023,Reeleito em 2.° turno,"4,6"
Minas Gerais,MG,Romeu Zema,NOVO,2019–2023,Eleito em 2.° turno,7
Pará,PA,Helder Barbalho,MDB,2019–2023,Eleito em 2.° turno,"4,2"
Paraíba,PB,João Azevêdo,PSB,2019–2023,Eleito em 1.° turno,3
Paraná,PR,Ratinho Júnior,PSD,2019–2023,Eleito em 1.° turno,"4,5"
Pernambuco,PE,Paulo Câmara,PSB,2019–2023,Reeleito em 1.° turno,3
Piauí,PI,Regina Sousa,PT,2022–2023,Assumiu após a renúncia do seu antecessor.[8],"2,9"
Rio de Janeiro,RJ,Cláudio Castro,PL,2021–2023,Assumiu após o impeachment do titular[9],"4,5"
Rio Grande do Norte,RN,Fátima Bezerra,PT,2019–2023,Eleito em 2.° turno,"2,9"
Rio Grande do Sul,RS,Ranolfo Vieira Júnior,PSDB,2022–2023,Assumiu após a renúncia do seu antecessor.[10],"4,6"
Rondônia,RO,Coronel Marcos Rocha,UNIÃO,2019–2023,Eleito em 2.° turno,"6,2"
Roraima,RR,Antonio Denarium[11],PP,2019–2023,Eleito em 2.° turno,6
Santa Catarina,SC,Carlos Moisés,Republicanos,2019–2023,Eleito em 2.° turno,4
São Paulo,SP,Rodrigo Garcia,PSDB,2022–2023,Assumiu após a renúncia do seu antecessor.[13],"4,6"
Sergipe,SE,Belivaldo Chagas,PSD,2019–2023,Eleito em 2.° turno,"4,5"
Tocantins,TO,Wanderlei Barbosa,Republicanos,2021–2023,Assumiu após o afastamento do titular[14],4
