ano,id_municipio,expectativa_anos_estudo,taxa_analfabetismo_15_a_17,taxa_atraso_0_medio,taxa_freq_bruta_medio,taxa_freq_15_17,indice_gini,idhm_e,idhm_l,idhm_r
2010,1100015,8.67,1.52,66.39,45.99,79.6,0.58,0.526,0.763,0.657
2010,1100023,9.18,1.09,72.93,58.77,76.42,0.53,0.6,0.806,0.716
2010,1100031,10.09,1.06,76.66,68.27,81.87,0.51,0.559,0.757,0.65
2010,1100049,9.74,0.8,71.07,80.94,81.04,0.57,0.62,0.821,0.727
2010,1100056,10.22,0.75,78.58,57.67,81.81,0.5,0.602,0.799,0.688
2010,1100064,10.4,1.23,78.44,64.95,86.6,0.49,0.584,0.814,0.676
2010,1100072,9.82,1.54,77.68,42.49,76.16,0.48,0.473,0.774,0.63
2010,1100080,9.22,1.44,56.93,32.48,74.64,0.52,0.493,0.751,0.616
2010,1100098,9.55,1.28,66.35,71.24,75.91,0.52,0.536,0.819,0.691
2010,1100106,8.17,1.77,66.81,61.7,81.73,0.54,0.519,0.823,0.663
2010,1100114,9.42,1.27,73.97,67.74,82.65,0.49,0.577,0.825,0.687
2010,1100122,9.95,1.0,67.15,67.27,83.89,0.53,0.617,0.81,0.728
2010,1100130,7.8,1.53,62.58,33.72,73.19,0.55,0.446,0.755,0.629
2010,1100148,9.44,1.21,73.42,64.58,79.08,0.56,0.524,0.763,0.664
2010,1100155,9.17,1.05,71.6,51.96,81.12,0.48,0.569,0.812,0.687
2010,1100189,9.08,0.77,74.83,50.76,81.15,0.54,0.613,0.803,0.726
2010,1100205,8.99,1.28,66.98,57.31,82.02,0.56,0.638,0.819,0.764
2010,1100254,9.78,0.58,58.26,80.25,85.71,0.53,0.55,0.792,0.671
2010,1100262,9.03,1.04,88.94,46.06,82.49,0.58,0.513,0.813,0.637
2010,1100288,9.9,1.03,74.95,56.38,82.17,0.53,0.598,0.808,0.709
2010,1100296,9.71,0.72,80.19,76.32,86.34,0.49,0.564,0.812,0.657
2010,1100304,10.55,0.93,74.02,67.5,84.01,0.5,0.659,0.808,0.734
2010,1100320,9.72,1.08,67.13,63.03,80.13,0.62,0.537,0.781,0.644
2010,1100338,7.7,1.6,63.81,45.0,71.14,0.52,0.424,0.769,0.619
2010,1100346,9.78,1.51,74.04,67.15,86.67,0.53,0.534,0.763,0.654
2010,1100379,9.46,1.56,69.08,60.11,72.88,0.54,0.443,0.777,0.603
2010,1100403,7.61,1.31,81.11,37.77,73.46,0.54,0.457,0.804,0.664
2010,1100452,8.3,1.61,69.73,52.62,75.13,0.5,0.479,0.751,0.65
2010,1100502,8.8,0.87,55.09,67.78,85.85,0.51,0.527,0.799,0.606
2010,1100601,9.44,1.15,62.76,75.97,81.02,0.56,0.506,0.801,0.664
2010,1100700,7.86,0.88,52.95,26.96,60.01,0.67,0.404,0.772,0.667
2010,1100809,8.19,1.81,61.26,46.98,75.26,0.47,0.512,0.819,0.652
2010,1100908,9.96,1.61,70.23,77.51,82.96,0.5,0.547,0.803,0.65
2010,1100924,9.53,1.34,68.79,74.48,80.3,0.47,0.514,0.82,0.659
2010,1100940,8.01,1.77,63.85,43.61,61.35,0.52,0.439,0.789,0.663
2010,1101005,9.0,0.58,60.89,76.01,90.42,0.55,0.444,0.762,0.627
2010,1101104,9.16,1.61,55.24,47.73,79.59,0.47,0.488,0.751,0.633
2010,1101203,8.95,1.23,72.9,64.33,79.49,0.54,0.518,0.776,0.647
2010,1101302,9.76,1.54,69.35,59.29,70.9,0.6,0.494,0.8,0.673
2010,1101401,9.65,2.09,57.81,50.72,73.03,0.47,0.454,0.762,0.645
2010,1101435,8.7,0.86,70.39,58.51,77.27,0.47,0.442,0.753,0.608
2010,1101450,8.96,1.0,78.84,63.16,76.41,0.52,0.485,0.8,0.604
2010,1101468,9.52,0.73,90.42,63.4,87.38,0.49,0.545,0.816,0.662
2010,1101476,9.65,0.88,82.67,68.59,92.59,0.52,0.512,0.799,0.645
2010,1101484,10.57,0.55,71.29,82.85,88.54,0.47,0.571,0.78,0.615
2010,1101492,9.44,1.19,61.13,49.41,74.86,0.56,0.462,0.751,0.657
2010,1101500,8.97,1.72,48.25,58.18,81.52,0.63,0.427,0.779,0.644
2010,1101559,9.2,1.59,80.73,78.17,81.59,0.43,0.498,0.818,0.653
2010,1101609,8.14,2.63,60.0,63.13,85.71,0.57,0.434,0.757,0.622
2010,1101708,8.92,1.33,61.35,71.78,76.14,0.51,0.471,0.772,0.621
2010,1101757,8.4,1.98,66.8,59.09,79.3,0.57,0.421,0.756,0.626
2010,1101807,9.28,0.71,64.41,53.77,81.48,0.59,0.485,0.792,0.641
2010,1200013,7.35,2.63,50.59,42.67,70.33,0.54,0.466,0.808,0.584
2010,1200054,7.08,7.35,71.7,55.27,66.03,0.61,0.456,0.77,0.578
