SG_UE,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDUCACAO
7900,0.4,0.774,0.299
7161,0.41700000000000004,0.7070000000000001,0.455
7544,0.41700000000000004,0.728,0.28600000000000003
7226,0.42200000000000004,0.773,0.47600000000000003
3042,0.43700000000000006,0.815,0.319
2739,0.43799999999999994,0.759,0.353
3107,0.439,0.7659999999999999,0.276
8524,0.44,0.735,0.433
7978,0.44299999999999995,0.759,0.455
7765,0.445,0.7659999999999999,0.34600000000000003
8222,0.445,0.758,0.39399999999999996
8850,0.44799999999999995,0.722,0.414
4766,0.449,0.779,0.303
8460,0.45,0.72,0.369
8818,0.452,0.743,0.532
7943,0.452,0.768,0.436
4898,0.45399999999999996,0.7759999999999999,0.207
8249,0.45399999999999996,0.738,0.41600000000000004
39144,0.455,0.774,0.509
7471,0.456,0.747,0.42100000000000004
7706,0.456,0.726,0.419
8206,0.461,0.722,0.435
2372,0.461,0.737,0.32299999999999995
12505,0.462,0.7340000000000001,0.336
12106,0.462,0.706,0.382
7048,0.465,0.774,0.483
7960,0.465,0.764,0.413
7455,0.466,0.72,0.505
2593,0.466,0.763,0.348
9059,0.46799999999999997,0.7490000000000001,0.452
39489,0.469,0.705,0.413
2119,0.469,0.774,0.522
4197,0.47,0.748,0.45
8834,0.47,0.768,0.56
7013,0.47100000000000003,0.725,0.434
2755,0.47100000000000003,0.78,0.386
10880,0.47200000000000003,0.774,0.435
12440,0.47200000000000003,0.772,0.489
28177,0.473,0.6729999999999999,0.39899999999999997
7145,0.474,0.6809999999999999,0.479
8435,0.474,0.774,0.547
10340,0.474,0.7440000000000001,0.358
8060,0.475,0.696,0.415
7994,0.475,0.727,0.47200000000000003
8443,0.475,0.738,0.391
2399,0.47600000000000003,0.772,0.302
12246,0.47600000000000003,0.772,0.35700000000000004
23248,0.47700000000000004,0.682,0.354
8427,0.478,0.7,0.41
10740,0.479,0.7659999999999999,0.401
12491,0.479,0.746,0.496
1040,0.479,0.726,0.361
