Ano_Ativacao,Municipio,Tipo Escola,velocidade_median,velocidade_mean
2018,Além Paraíba,Municipal,2.0,2.0
2018,Americana,Estadual,4.0,4.333333333333333
2018,Amparo,Estadual,4.0,4.0
2018,Ananindeua,Federal,2.0,2.0
2018,Apiaí,Estadual,4.0,4.0
2018,Aramari,Estadual,2.0,2.0
2018,Araraquara,Estadual,2.0,4.0
2018,Araraquara,Municipal,4.0,6.6
2018,Araras,Estadual,8.0,7.333333333333333
2018,Araçatuba,Estadual,6.0,6.0
2018,Araçoiaba da Serra,Estadual,7.0,7.0
2018,Ariquemes,Estadual,10.0,10.0
2018,Armação dos Búzios,Municipal,10.0,10.0
2018,Artur Nogueira,Estadual,4.0,4.0
2018,Arujá,Estadual,4.0,4.0
2018,Assis Chateaubriand,Estadual,2.0,2.0
2018,Atibaia,Estadual,4.0,4.0
2018,Avaré,Estadual,4.0,4.0
2018,Balsas,Municipal,2.0,2.0
2018,Barros Cassal,Municipal,2.0,2.0
2018,Barueri,Estadual,8.0,8.0
2018,Bastos,Estadual,4.0,4.0
2018,Batalha,Federal,2.0,2.0
2018,Bauru,Estadual,4.0,4.0
2018,Belo Horizonte,Municipal,2.0,2.0
2018,Belo Vale,Municipal,2.0,2.0
2018,Belém,Municipal,2.0,2.0
2018,Birigui,Municipal,2.0,2.0
2018,Biritiba-Mirim,Estadual,4.0,4.0
2018,Bom Jesus,Municipal,2.0,2.0
2018,Bom Princípio do Piauí,Municipal,2.0,2.0
2018,Botucatu,Estadual,3.0,3.0
2018,Bragança Paulista,Estadual,4.0,4.0
2018,Brasília,Estadual,2.0,2.0
2018,Brasília,Federal,5.0,5.0
2018,Britânia,Municipal,2.0,2.0
2018,Brumadinho,Municipal,2.0,2.0
2018,Caconde,Estadual,4.0,4.0
2018,Cafelândia,Estadual,16.0,16.0
2018,Caiuá,Estadual,10.0,10.0
2018,Cajati,Estadual,4.0,4.0
2018,Cajuru,Estadual,600.0,600.0
2018,Campina Grande,Estadual,2.0,2.0
2018,Campina Verde,Estadual,10.0,10.0
2018,Campinas,Estadual,2.0,3.7142857142857144
2018,Campinas,Municipal,10.0,10.0
2018,Campinorte,Estadual,1.0,1.0
2018,Campos Altos,Estadual,300.0,300.0
2018,Campos Novos Paulista,Estadual,10.0,10.0
2018,Cananéia,Estadual,4.0,4.0
2018,Caraguatatuba,Estadual,4.0,4.0
2018,Caraguatatuba,Municipal,5.0,5.0
2018,Carapicuíba,Estadual,4.0,4.0
2018,Carmo do Cajuru,Municipal,2.0,2.0
2018,Carmo do Paranaíba,Estadual,600.0,600.0
2018,Carmo do Paranaíba,Municipal,600.0,600.0
2018,Carutapera,Municipal,2.0,2.0
2018,Casa Branca,Estadual,6.0,6.0
2018,Casa Branca,Municipal,7.0,7.0
2018,Castanhal,Municipal,2.0,2.0
2018,Castilho,Estadual,8.0,8.0
2018,Catiguá,Estadual,8.0,8.0
2018,Caçapava,Estadual,2.0,2.6666666666666665
2018,Charqueada,Estadual,2.0,2.0
2018,Cláudio,Municipal,2.0,2.0
2018,Codó,Municipal,2.0,2.0
2018,Coelho Neto,Federal,2.0,2.0
2018,Colombo,Estadual,2.0,2.0
2018,Conceição das Alagoas,Municipal,600.0,600.0
2018,Corumbataí,Estadual,4.0,4.0
2018,Cotia,Estadual,3.0,4.333333333333333
2018,Cravinhos,Estadual,10.0,10.0
2018,Craíbas,Municipal,2.0,2.0
2018,Cristalina,Estadual,10.0,10.0
2018,Cruzeiro,Estadual,2.0,2.0
2018,Cruzeiro,Municipal,2.0,2.0
2018,Cruzeiro do Sul,Municipal,2.0,2.0
2018,Cunha,Estadual,10.0,10.0
2018,Cândido Mendes,Municipal,2.0,2.0
2018,Diadema,Estadual,2.0,2.0
2018,Diadema,Municipal,10.0,10.0
2018,Dionísio,Estadual,2.0,2.0
2018,Divinópolis,Estadual,2.0,2.0
2018,Dolcinópolis,Estadual,10.0,10.0
2018,Dourados,Estadual,2.0,2.0
2018,Dumont,Estadual,10.0,10.0
2018,Embu das Artes,Estadual,4.0,3.3333333333333335
2018,Embu-Guaçu,Estadual,2.0,2.6666666666666665
2018,Embu-Guaçu,Municipal,10.0,10.0
2018,Faro,Municipal,0.512,0.512
2018,Fartura,Estadual,4.0,4.0
2018,Feira Nova do Maranhão,Estadual,2.0,2.0
2018,Feira Nova do Maranhão,Municipal,2.0,2.0
2018,Fernandópolis,Estadual,3.0,3.0
2018,Ferraz de Vasconcelos,Estadual,4.0,4.0
2018,Flórida Paulista,Estadual,10.0,10.0
2018,Franca,Estadual,600.0,600.0
2018,Francisco Morato,Estadual,3.0,3.0
2018,Franco da Rocha,Estadual,6.0,5.5
2018,Garça,Estadual,4.0,4.0
2018,Goiânia,Municipal,8.5,8.5
2018,Grajaú,Municipal,2.0,2.0
2018,Granja,Estadual,2.0,2.0
2018,Guaraci,Municipal,3.0,3.0
2018,Guararema,Estadual,2.0,2.0
2018,Guararema,Municipal,2.0,2.0
2018,Guaratinguetá,Estadual,4.0,8.2
2018,Guarujá,Estadual,2.0,2.5
2018,Guarulhos,Estadual,2.0,3.8947368421052633
2018,Hortolândia,Estadual,5.0,5.0
2018,Ibaté,Estadual,2.0,2.0
2018,Ibirité,Municipal,2.0,2.0
2018,Ibitinga,Estadual,16.0,16.0
2018,Ibiúna,Estadual,3.0,3.0
2018,Igarassu,Municipal,2.0,2.0
2018,Igaraçu do Tietê,Estadual,4.0,4.0
2018,Iguape,Estadual,4.0,4.0
2018,Iguape,Municipal,2.0,2.0
2018,Imbituva,Municipal,2.0,2.0
2018,Imperatriz,Municipal,2.0,2.0
2018,Indaiatuba,Estadual,2.0,2.0
2018,Indaiatuba,Municipal,5.5,5.5
